OpenCC繁體,香港繁體,臺灣正體,大陸簡體,日本簡體,異體字
鳥,鳥,鳥,鸟,鳥,鸟
嗣,嗣,嗣,嗣,嗣,
攻,攻,攻,攻,攻,
塊,塊,塊,块,塊,凷块
崢,崢,崢,峥,崢,峥
噬,噬,噬,噬,噬,
溘,溘,溘,溘,溘,
輪,輪,輪,轮,輪,轮
暮,暮,暮,暮,暮,
眞,眞,眞,真,眞,真
鑛,鑛,鑛,鑛,鉱,礦鉱
銖,銖,銖,铢,銖,铢
況,況,況,况,況,况湟
鞦,鞦,鞦,秋,鞦,秋鞧
益,益,益,益,益,
各,各,各,各,各,
猛,猛,猛,猛,猛,
媚,媚,媚,媚,媚,
師,師,師,师,師,师
營,營,營,营,営,営营
咪,咪,咪,咪,咪,
躪,躪,躪,躏,躪,躏
矯,矯,矯,矫,矯,矫
憐,憐,憐,怜,憐,怜
逢,逢,逢,逢,逢,
地,地,地,地,地,
銓,銓,銓,铨,銓,铨
葉,葉,葉,叶,葉,叶
袒,袒,袒,袒,袒,襢
墳,墳,墳,坟,墳,坆坟
疋,疋,疋,疋,疋,匹
濤,濤,濤,涛,濤,涛
崎,崎,崎,崎,崎,埼嵜碕
蝨,蝨,蝨,虱,蝨,虱
莉,莉,莉,莉,莉,
犢,犢,犢,犊,犢,犊
住,住,住,住,住,
英,英,英,英,英,
轅,轅,轅,辕,轅,辕
威,威,威,威,威,
沿,沿,沿,沿,沿,
詠,詠,詠,咏,詠,咏
皇,皇,皇,皇,皇,
媽,媽,媽,妈,媽,妈
眷,眷,眷,眷,眷,
紫,紫,紫,紫,紫,
餸,餸,餸,𩠌,餸,𩠌
毗,毗,毗,毗,毗,毘
淫,淫,淫,淫,淫,婬
七,七,七,七,七,柒
娶,娶,娶,娶,娶,
駭,駭,駭,骇,駭,骇
埔,埔,埔,埔,埔,
肯,肯,肯,肯,肯,肻
滲,滲,滲,渗,滲,渗
鄭,鄭,鄭,郑,鄭,郑
酢,酢,酢,酢,酢,醋
鰻,鰻,鰻,鳗,鰻,鳗
叩,叩,叩,叩,叩,
裝,裝,裝,装,装,装
咀,咀,咀,咀,咀,嘴觜
澡,澡,澡,澡,澡,
嶝,嶝,嶝,嶝,嶝,磴
婀,婀,婀,婀,婀,娿
頸,頸,頸,颈,頸,頚颈
峯,峯,峰,峰,峰,峰
堪,堪,堪,堪,堪,
鑿,鑿,鑿,凿,鑿,凿
眠,眠,眠,眠,眠,
爹,爹,爹,爹,爹,
餐,餐,餐,餐,餐,
社,社,社,社,社,社
働,働,働,働,働,
滋,滋,滋,滋,滋,
飾,飾,飾,饰,飾,餙餝饰
圍,圍,圍,围,囲,囲围
丁,丁,丁,丁,丁,
霏,霏,霏,霏,霏,
葬,葬,葬,葬,葬,塟
鞅,鞅,鞅,鞅,鞅,
庇,庇,庇,庇,庇,
囂,囂,囂,嚣,囂,嚣嚻
象,象,象,象,象,
肄,肄,肄,肄,肄,
冢,冢,冢,冢,冢,塚
桶,桶,桶,桶,桶,
拶,拶,拶,拶,拶,
蝠,蝠,蝠,蝠,蝠,
焰,焰,焰,焰,焰,焔燄
縣,縣,縣,县,県,县県
倦,倦,倦,倦,倦,
萱,萱,萱,萱,萱,萲
魁,魁,魁,魁,魁,
炯,炯,炯,炯,炯,烱
借,借,借,借,借,藉
善,善,善,善,善,譱
呂,呂,呂,吕,呂,吕
枯,枯,枯,枯,枯,
跑,跑,跑,跑,跑,
瘍,瘍,瘍,疡,瘍,疡
免,免,免,免,免,免
闇,闇,闇,暗,闇,暗
揆,揆,揆,揆,揆,
訓,訓,訓,训,訓,训
檳,檳,檳,槟,檳,㯽梹槟
糕,糕,糕,糕,糕,餻
今,今,今,今,今,
捲,捲,捲,卷,捲,卷巻
泅,泅,泅,泅,泅,
秩,秩,秩,秩,秩,
售,售,售,售,售,
捧,捧,捧,捧,捧,
蘆,蘆,蘆,芦,芦,芦
庭,庭,庭,庭,庭,
臚,臚,臚,胪,臚,胪髗
眼,眼,眼,眼,眼,
媛,媛,媛,媛,媛,
注,注,注,注,注,註
順,順,順,顺,順,顺
史,史,史,史,史,
癌,癌,癌,癌,癌,
絆,絆,絆,绊,絆,绊
苗,苗,苗,苗,苗,
汁,汁,汁,汁,汁,
哨,哨,哨,哨,哨,
瞌,瞌,瞌,瞌,瞌,
下,下,下,下,下,丅
孚,孚,孚,孚,孚,孵
錳,錳,錳,锰,錳,锰
刻,刻,刻,刻,刻,
瑁,瑁,瑁,瑁,瑁,
吸,吸,吸,吸,吸,噏
洛,洛,洛,洛,洛,
漱,漱,漱,漱,漱,潄
鼻,鼻,鼻,鼻,鼻,
峭,峭,峭,峭,峭,陗
旬,旬,旬,旬,旬,
熹,熹,熹,熹,熹,熺
惑,惑,惑,惑,惑,
速,速,速,速,速,
癘,癘,癘,疠,癘,疠
竊,竊,竊,窃,窃,窃
鞠,鞠,鞠,鞠,鞠,
鏚,鏚,鏚,戚,鏚,戚
諫,諫,諫,谏𫍝,諫,諌谏𫍝
汲,汲,汲,汲,汲,
擦,擦,擦,擦,擦,
餘,餘,餘,余馀,余,余馀
廁,廁,廁,厕,厠,厕厠
貊,貊,貊,貊,貊,貘
鐸,鐸,鐸,铎,鐸,鈬铎
餅,餅,餅,饼,餅,餠饼
符,符,符,符,符,
瘟,瘟,瘟,瘟,瘟,
腰,腰,腰,腰,腰,𦝫
努,努,努,努,努,
秦,秦,秦,秦,秦,
縷,縷,縷,缕,縷,缕
鎂,鎂,鎂,镁,鎂,镁
乙,乙,乙,乙,乙,
案,案,案,案,案,
貯,貯,貯,贮,貯,贮
洱,洱,洱,洱,洱,
泓,泓,泓,泓,泓,
于,于,于,于,于,扵於
驃,驃,驃,骠,驃,骠
勤,勤,勤,勤,勤,懃勤
最,最,最,最,最,
刃,刃,刃,刃,刃,刄
娌,娌,娌,娌,娌,
惺,惺,惺,惺,惺,𢜫
罄,罄,罄,罄,罄,
貫,貫,貫,贯,貫,贯
羈,羈,羈,羁,羈,羁羇覉覊
躁,躁,躁,躁,躁,趮
矓,矓,矓,眬,矓,眬
鑰,鑰,鑰,钥,鑰,钥
摧,摧,摧,摧,摧,
廖,廖,廖,廖,廖,
燈,燈,燈,灯,灯,灯
戳,戳,戳,戳,戳,
凜,凜,凜,凛,凜,凛
訌,訌,訌,讧,訌,讧
課,課,課,课,課,课
唔,唔,唔,唔,唔,
互,互,互,互,互,
松,松,松,松,松,枀枩鬆
籲,籲,籲,吁,籲,吁龥𥸤
靴,靴,靴,靴,靴,鞾
洪,洪,洪,洪,洪,洚
樂,樂,樂,樂,樂,
根,根,根,根,根,
擊,擊,擊,击,撃,击撃
蹶,蹶,蹶,蹶,蹶,
瞧,瞧,瞧,瞧,瞧,
腺,腺,腺,腺,腺,
鮑,鮑,鮑,鲍,鮑,鲍
書,書,書,书,書,书
舀,舀,舀,舀,舀,抌
邐,邐,邐,逦,邐,逦
玉,玉,玉,玉,玉,
逸,逸,逸,逸,逸,逸
竣,竣,竣,竣,竣,
琿,琿,琿,珲,琿,珲
慮,慮,慮,虑,慮,虑
怕,怕,怕,怕,怕,
閻,閻,閻,阎,閻,閆闫阎
節,節,節,节,節,节節
尙,尙,尙,尙,尙,尚
製,製,製,制,製,制
瑕,瑕,瑕,瑕,瑕,
碉,碉,碉,碉,碉,
咦,咦,咦,咦,咦,
蝗,蝗,蝗,蝗,蝗,
秤,秤,秤,秤,秤,
蠶,蠶,蠶,蚕,蚕,蚕𧕽𧖟
旅,旅,旅,旅,旅,
僮,僮,僮,僮,僮,
嚨,嚨,嚨,咙,嚨,咙
晝,晝,晝,昼,昼,昼
凹,凹,凹,凹,凹,𠕄
惦,惦,惦,惦,惦,
堯,堯,堯,尧,堯,尧尭
檐,檐,簷,檐,檐,簷
煦,煦,煦,煦,煦,喣
研,研,研,研,研,揅硎硏
然,然,然,然,然,
環,環,環,环,環,环
醉,醉,醉,醉,酔,酔
祇,祇,祇,只祇,祇,只
滑,滑,滑,滑,滑,磆
旣,旣,旣,既,旣,既
返,返,返,返,返,
蓀,蓀,蓀,荪,蓀,荪
憾,憾,憾,憾,憾,
否,否,否,否,否,
養,養,養,养,養,养
褥,褥,褥,褥,褥,
獵,獵,獵,猎,猟,猎猟𤢪
玳,玳,玳,玳,玳,瑇
梱,梱,梱,梱,梱,
倌,倌,倌,倌,倌,
膨,膨,膨,膨,膨,
昨,昨,昨,昨,昨,
捎,捎,捎,捎,捎,
羣,羣,群,群,群,群
昌,昌,昌,昌,昌,
鈽,鈽,鈽,钸,鈽,钸
鍼,鍼,鍼,针,鍼,箴針针
嗡,嗡,嗡,嗡,嗡,
潦,潦,潦,潦,潦,
撐,撐,撐,撑,撐,撑
稷,稷,稷,稷,稷,
屑,屑,屑,屑,屑,
兗,兗,兗,兖,兗,兖
田,田,田,田,田,
想,想,想,想,想,
久,久,久,久,久,乆
週,週,週,周,週,周
輕,輕,輕,轻,軽,軽轻
杭,杭,杭,杭,杭,
疎,疎,疎,疎,疎,䟽疏踈
鰱,鰱,鰱,鲢,鰱,鲢
隕,隕,隕,陨,隕,殒殞磒陨
嫖,嫖,嫖,嫖,嫖,
沌,沌,沌,沌,沌,
壇,壇,壇,坛,壇,坛
菠,菠,菠,菠,菠,
顰,顰,顰,颦,顰,嚬颦
啥,啥,啥,啥,啥,
漯,漯,漯,漯,漯,
剖,剖,剖,剖,剖,
扣,扣,扣,扣,扣,釦
咱,咱,咱,咱,咱,偺
陋,陋,陋,陋,陋,
僕,僕,僕,仆,僕,仆
裕,裕,裕,裕,裕,
丐,丐,丐,丐,丐,匃
唷,唷,唷,唷,唷,唹
乏,乏,乏,乏,乏,
懈,懈,懈,懈,懈,
浚,浚,浚,浚,浚,濬
疳,疳,疳,疳,疳,
鱖,鱖,鱖,鳜,鱖,鳜
落,落,落,落,落,
癥,癥,癥,症,癥,症
與,與,與,与,与,与
蚓,蚓,蚓,蚓,蚓,螾
重,重,重,重,重,
磨,磨,磨,磨,磨,
員,員,員,员,員,员
旎,旎,旎,旎,旎,
咫,咫,咫,咫,咫,
燉,燉,燉,炖,燉,炖
仃,仃,仃,仃,仃,停
緞,緞,緞,缎,緞,缎
場,場,場,场,場,场塲
顱,顱,顱,颅,顱,颅髗
腊,腊,腊,腊,腊,臈臘
鏘,鏘,鏘,锵,鏘,锵
鼴,鼴,鼴,鼹,鼴,鼹
鎊,鎊,鎊,镑,鎊,镑
指,指,指,指,指,
著,著,著,著,著,着箸著
釀,釀,釀,酿,醸,酿醸
巧,巧,巧,巧,巧,
枸,枸,枸,枸,枸,
牒,牒,牒,牒,牒,
吟,吟,吟,吟,吟,唫
堆,堆,堆,堆,堆,
裹,裹,裹,裹,裹,
徙,徙,徙,徙,徙,
瞞,瞞,瞞,瞒,瞞,瞒
爲,為,為,为,為,为為
惻,惻,惻,恻,惻,恻
扒,扒,扒,扒,扒,
埃,埃,埃,埃,埃,
鱗,鱗,鱗,鳞,鱗,鳞
湛,湛,湛,湛,湛,
儷,儷,儷,俪,儷,俪
蘭,蘭,蘭,兰,蘭,兰
嚕,嚕,嚕,噜,嚕,噜
籮,籮,籮,箩,籮,箩
關,關,關,关,関,关寡関闗
腳,腳,腳,脚,脚,脚
慘,慘,慘,惨,惨,惨
狀,狀,狀,状,状,状
剷,剷,剷,铲,剷,剗鏟铲
碧,碧,碧,碧,碧,
鼕,鼕,鼕,冬,鼕,冬
斧,斧,斧,斧,斧,
寺,寺,寺,寺,寺,
嶺,嶺,嶺,岭,嶺,岭
馮,馮,馮,冯,馮,冯
捫,捫,捫,扪,捫,扪
蠕,蠕,蠕,蠕,蠕,
粵,粵,粵,粤,粵,粤
率,率,率,率,率,
蕨,蕨,蕨,蕨,蕨,
荔,荔,荔,荔,荔,栛茘
剋,剋,剋,克,剋,克尅
還,還,還,还,還,还
捅,捅,捅,捅,捅,
氈,氈,氈,毡,氈,毡氊
醃,醃,醃,腌,醃,腌
刊,刊,刊,刊,刊,刋
陝,陝,陝,陕,陝,陕陜
碌,碌,碌,碌,碌,
牢,牢,牢,牢,牢,
芻,芻,芻,刍,芻,刍蒭𦷝
涉,涉,涉,涉,渉,渉
稿,稿,稿,稿,稿,槀稾
堊,堊,堊,垩,堊,垩聖
量,量,量,量,量,
砥,砥,砥,砥,砥,厎
餞,餞,餞,饯,餞,饯
跌,跌,跌,跌,跌,
厝,厝,厝,厝,厝,
村,村,村,村,村,邨
啼,啼,啼,啼,啼,嗁
裾,裾,裾,裾,裾,
徊,徊,徊,徊,徊,
莊,莊,莊,庄,荘,庄荘
倘,倘,倘,倘,倘,儻
誇,誇,誇,夸,誇,侉夸
璃,璃,璃,璃,璃,瓈
芒,芒,芒,芒,芒,杧
享,享,享,享,享,亯
喱,喱,喱,喱,喱,
狗,狗,狗,狗,狗,
曇,曇,曇,昙,曇,昙
盹,盹,盹,盹,盹,
性,性,性,性,性,
犄,犄,犄,犄,犄,
耳,耳,耳,耳,耳,
諂,諂,諂,谄,諂,谄
犀,犀,犀,犀,犀,
擲,擲,擲,掷,擲,掷擿
柱,柱,柱,柱,柱,
赤,赤,赤,赤,赤,𤆍
鋁,鋁,鋁,铝,鋁,铝
箇,箇,箇,个,箇,个個
箋,箋,箋,笺,箋,牋笺
騙,騙,騙,骗,騙,騗骗
廟,廟,廟,庙,廟,庙庿
崔,崔,崔,崔,崔,磪
稽,稽,稽,稽,稽,𥡞
焚,焚,焚,焚,焚,
冑,胄,冑,胄,冑,伷胄
僖,僖,僖,僖,僖,
笑,笑,笑,笑,笑,咲𥬇
蘑,蘑,蘑,蘑,蘑,藦
砌,砌,砌,砌,砌,
汽,汽,汽,汽,汽,
佞,佞,佞,佞,佞,侫
啓,啟,啟,启,啓,启啔啟
標,標,標,标,標,标
硝,硝,硝,硝,硝,
空,空,空,空,空,
潛,潛,潛,潜,潜,潜濳
醺,醺,醺,醺,醺,
阪,阪,阪,坂阪,阪,坂
疵,疵,疵,疵,疵,
隙,隙,隙,隙,隙,郄𨻶
蝌,蝌,蝌,蝌,蝌,
鴛,鴛,鴛,鸳,鴛,鸳
鏑,鏑,鏑,镝,鏑,镝
烹,烹,烹,烹,烹,
蟬,蟬,蟬,蝉,蟬,蝉
噗,噗,噗,噗,噗,
目,目,目,目,目,
孓,孓,孓,孓,孓,
楞,楞,楞,楞,楞,棱稜
佬,佬,佬,佬,佬,
蚪,蚪,蚪,蚪,蚪,虬
沃,沃,沃,沃,沃,
茱,茱,茱,茱,茱,
竺,竺,竺,竺,竺,
懺,懺,懺,忏,懺,忏懴
沙,沙,沙,沙,沙,
阿,阿,阿,阿,阿,
殿,殿,殿,殿,殿,
鎅,鎅,鎅,鎅,鎅,
膝,膝,膝,膝,膝,
訟,訟,訟,讼,訟,讼
毓,毓,毓,毓,毓,
鎮,鎮,鎮,镇,鎮,鎭镇
微,微,微,微,微,
料,料,料,料,料,
湯,湯,湯,汤,湯,汤
毁,毁,毁,毁,毁,毀燬譭
糯,糯,糯,糯,糯,稬穤粫𥻟
妝,粧,妝,妆,粧,妆粧
非,非,非,非,非,
粱,粱,粱,粱,粱,
裘,裘,裘,裘,裘,
序,序,序,序,序,
撈,撈,撈,捞,撈,捞
婪,婪,婪,婪,婪,
帛,帛,帛,帛,帛,
貸,貸,貸,贷,貸,贷
遘,遘,遘,遘,遘,
聆,聆,聆,聆,聆,
坡,坡,坡,坡,坡,
怵,怵,怵,怵,怵,
挫,挫,挫,挫,挫,繲
呻,呻,呻,呻,呻,
媲,媲,媲,媲,媲,
侏,侏,侏,侏,侏,
姜,姜,姜,姜,姜,薑
買,買,買,买𧹒,買,买𧹒
缶,缶,缶,缶,缶,罐
挂,挂,挂,挂,挂,掛
枉,枉,枉,枉,枉,
錢,錢,錢,钱,銭,銭钱
由,由,由,由,由,
惹,惹,惹,惹,惹,
四,四,四,四,四,
毒,毒,毒,毒,毒,
褐,褐,褐,褐,褐,褐
覲,覲,覲,觐,覲,觐
坑,坑,坑,坑,坑,阬
當,當,當,当,当,当
蔡,蔡,蔡,蔡,蔡,
漳,漳,漳,漳,漳,
墟,墟,墟,墟,墟,
壽,壽,壽,寿,寿,夀寿
勉,勉,勉,勉,勉,勉
痿,痿,痿,痿,痿,
鬼,鬼,鬼,鬼,鬼,
鱉,鼈,鱉,鳖,鼈,鳖鼈龞
姐,姐,姐,姐,姐,
卽,卽,卽,即,卽,即
榭,榭,榭,榭,榭,
野,野,野,野,野,埜
念,念,念,念,念,唸
顓,顓,顓,颛,顓,颛
佇,佇,佇,伫,佇,伫竚
蒸,蒸,蒸,蒸,蒸,烝
肅,肅,肅,肃,粛,粛肃
起,起,起,起,起,
淄,淄,淄,淄,淄,湽
帽,帽,帽,帽,帽,
淞,淞,淞,淞,淞,
征,征,征,征,征,徵
治,治,治,治,治,
佾,佾,佾,佾,佾,
楨,楨,楨,桢,楨,桢
甜,甜,甜,甜,甜,甛
袂,袂,袂,袂,袂,
茶,茶,茶,茶,茶,
塑,塑,塑,塑,塑,塐
誦,誦,誦,诵,誦,诵
殖,殖,殖,殖,殖,
慍,愠,慍,愠,慍,愠
鏤,鏤,鏤,镂,鏤,镂
癸,癸,癸,癸,癸,
丞,丞,丞,丞,丞,
邏,邏,邏,逻,邏,逻
肪,肪,肪,肪,肪,
乩,乩,乩,乩,乩,
鑼,鑼,鑼,锣,鑼,锣
潔,潔,潔,洁,潔,洁
嗆,嗆,嗆,呛,嗆,呛
襟,襟,襟,襟,襟,衿
析,析,析,析,析,
棘,棘,棘,棘,棘,
笨,笨,笨,笨,笨,㤒
撚,撚,撚,撚,撚,
肉,肉,肉,肉,肉,宍
汕,汕,汕,汕,汕,
毫,毫,毫,毫,毫,
慢,慢,慢,慢,慢,
院,院,院,院,院,
牙,牙,牙,牙,牙,
氏,氏,氏,氏,氏,
憚,憚,憚,惮,憚,惮
卮,卮,卮,卮,卮,巵
掬,掬,掬,掬,掬,匊
曖,曖,曖,暧,曖,暧瞹
瘸,瘸,瘸,瘸,瘸,
侄,侄,侄,侄,侄,姪
釋,釋,釋,释,釈,釈释
杰,杰,杰,杰,杰,傑
拼,拼,拼,拼,拼,摒
御,御,御,御,御,禦馭
臻,臻,臻,臻,臻,
岳,岳,岳,岳,岳,嶽
迴,迴,迴,回,迴,回廻
唐,唐,唐,唐,唐,
慟,慟,慟,恸,慟,恸憅
巖,巖,巖,岩,巌,岩巌
褲,褲,褲,裤,褲,絝綯绔袴裤
棱,稜,稜,棱,稜,楞稜
愉,愉,愉,愉,愉,愈
瞬,瞬,瞬,瞬,瞬,䀢
出,出,出,出,出,岀齣
鵰,鵰,鵰,雕𫛲,鵰,雕𫛲
疼,疼,疼,疼,疼,
濫,濫,濫,滥,濫,滥
繁,繁,繁,繁,繁,緐繁
候,候,候,候,候,𠋫
嗯,嗯,嗯,嗯,嗯,
診,診,診,诊,診,诊
磷,磷,磷,磷,磷,
店,店,店,店,店,坫
袍,袍,袍,袍,袍,
幟,幟,幟,帜,幟,帜旘
澈,澈,澈,澈,澈,徹
聲,聲,聲,声,声,声
已,已,已,已,已,巳
弒,弒,弒,弑,弒,弑
探,探,探,探,探,
嗇,嗇,嗇,啬,嗇,啬
皰,皰,皰,疱,皰,疱
遲,遲,遲,迟,遅,迟遅遟
匿,匿,匿,匿,匿,
糜,糜,糜,糜,糜,
庖,庖,庖,庖,庖,
畝,畝,畝,亩,畝,亩畆畒畮
平,平,平,平,平,
袈,袈,袈,袈,袈,
遙,遙,遙,遥,遙,遥
鎔,鎔,鎔,镕,鎔,熔镕
篷,篷,篷,篷,篷,
隱,隱,隱,隐,隠,乚隐隠
求,求,求,求,求,
糧,糧,糧,粮,糧,粮
刷,刷,刷,刷,刷,㕞
塢,塢,塢,坞,塢,坞鄔隖隝
惘,惘,惘,惘,惘,
扎,扎,扎,扎,扎,紥紮
沒,沒,沒,没,没,没
瞠,瞠,瞠,瞠,瞠,瞪
伕,伕,伕,伕,伕,夫
山,山,山,山,山,
詬,詬,詬,诟,詬,訽诟
聚,聚,聚,聚,聚,
含,含,含,含,含,
皚,皚,皚,皑,皚,皑
抗,抗,抗,抗,抗,
鍥,鍥,鍥,锲,鍥,锲
唱,唱,唱,唱,唱,
舜,舜,舜,舜,舜,
斃,斃,斃,毙,斃,毙
愿,愿,愿,愿,愿,願
蚩,蚩,蚩,蚩,蚩,
蛔,蛔,蛔,蛔,蛔,蚘蛕蜖
眺,眺,眺,眺,眺,
漪,漪,漪,漪,漪,
鎭,鎭,鎭,镇,鎭,鎮
叮,叮,叮,叮,叮,
印,印,印,印,印,
聯,聯,聯,联,聯,联聨聫聮
黨,黨,黨,党,党,党
窺,窺,窺,窥,窺,窥
杜,杜,杜,杜,杜,
盧,盧,盧,卢,盧,卢
狡,狡,狡,狡,狡,
愧,愧,愧,愧,愧,媿
式,式,式,式,式,
哥,哥,哥,哥,哥,
鯊,鯊,鯊,鲨,鯊,魦鯋鲨
企,企,企,企,企,
娓,娓,娓,娓,娓,
耕,耕,耕,耕,耕,畊簡
瞄,瞄,瞄,瞄,瞄,
盒,盒,盒,盒,盒,
柜,柜,柜,柜,柜,櫃
堤,堤,堤,堤,堤,隄
腎,腎,腎,肾,腎,肾
忘,忘,忘,忘,忘,
吻,吻,吻,吻,吻,呡肳
氐,氐,氐,氐,氐,
嬸,嬸,嬸,婶,嬸,婶
鸚,鸚,鸚,鹦,鸚,鹦
吞,吞,吞,吞,吞,呑
痹,痺,痺,痹,痺,痺
蛻,蜕,蛻,蜕,蛻,蜕
灘,灘,灘,滩,灘,滩潬
貲,貲,貲,赀,貲,赀
冀,冀,冀,冀,冀,
該,該,該,该,該,该
呢,呢,呢,呢,呢,
甄,甄,甄,甄,甄,
岷,岷,岷,岷,岷,
討,討,討,讨,討,讨
埋,埋,埋,埋,埋,
蕊,蕊,蕊,蕊,蕊,蕋蘂
脅,脅,脅,胁,脅,胁脇
髻,髻,髻,髻,髻,䯻
織,織,織,织,織,织
怡,怡,怡,怡,怡,
鄰,鄰,鄰,邻,鄰,邻隣
俳,俳,俳,俳,俳,
過,過,過,过,過,过
垃,垃,垃,垃,垃,
濬,濬,濬,濬,濬,浚
逐,逐,逐,逐,逐,
競,競,競,竞,競,竞竸誩
淙,淙,淙,淙,淙,
禽,禽,禽,禽,禽,
勇,勇,勇,勇,勇,
容,容,容,容,容,
蒙,蒙,蒙,蒙,蒙,懞朦濛矇苎
傘,傘,傘,伞,傘,伞繖
瓊,瓊,瓊,琼,瓊,琼
庠,庠,庠,庠,庠,
氤,氤,氤,氤,氤,絪
琴,琴,琴,琴,琴,
椅,椅,椅,椅,椅,
裔,裔,裔,裔,裔,
專,專,專,专,専,专専耑
精,精,精,精,精,
棋,棋,棋,棋,棋,棊碁
蟻,蟻,蟻,蚁,蟻,蚁螘
謠,謠,謠,谣,謡,謡谣
蒿,蒿,蒿,蒿,蒿,
遁,遁,遁,遁,遁,
人,人,人,人,人,亻
櫓,櫓,櫓,橹,櫓,㯭樐橹舮舻艣艪艫
戛,戛,戛,戛,戛,戞
躅,躅,躅,躅,躅,䠱
懷,懷,懷,怀,懐,怀怌懐
辛,辛,辛,辛,辛,
吐,吐,吐,吐,吐,
磊,磊,磊,磊,磊,磥
黜,黜,黜,黜,黜,
砭,砭,砭,砭,砭,
咻,咻,咻,咻,咻,
無,無,無,无,無,无橆
聊,聊,聊,聊,聊,
貼,貼,貼,贴,貼,贴
菅,菅,菅,菅,菅,
恿,恿,恿,恿,恿,慂
饋,饋,饋,馈,饋,櫃餽馈
示,示,示,示,示,礻
郵,郵,郵,邮,郵,邮
淵,淵,淵,渊,淵,渊渕
曝,曝,曝,曝,曝,
醒,醒,醒,醒,醒,
瑚,瑚,瑚,瑚,瑚,
付,付,付,付,付,
曱,曱,曱,曱,曱,
呶,呶,呶,呶,呶,
僑,僑,僑,侨,僑,侨
鬨,鬨,鬨,哄,鬨,哄閧
保,保,保,保,保,
揹,揹,揹,揹,揹,背
岫,岫,岫,岫,岫,峀
敘,敍,敘,叙,叙,叙敍
羯,羯,羯,羯,羯,
眩,眩,眩,眩,眩,
綱,綱,綱,纲,綱,纲
望,望,望,望,望,朢
搶,搶,搶,抢,搶,抢
孕,孕,孕,孕,孕,
痳,痳,痳,痳,痳,痲
塘,塘,塘,塘,塘,
睛,睛,睛,睛,睛,
滬,滬,滬,沪,滬,沪
詼,詼,詼,诙,詼,诙
糰,糰,糰,团,糰,䊜团
孿,孿,孿,孪,孿,孪
鈡,鈡,鈡,钟,鈡,鍾钟
扼,扼,扼,扼,扼,㧖搤
竽,竽,竽,竽,竽,
網,網,網,网,網,网
活,活,活,活,活,
透,透,透,透,透,
沉,沉,沉,沉,沉,沈瀋
苟,苟,苟,苟,苟,茍
冗,宂,冗,冗,冗,宂
招,招,招,招,招,
諄,諄,諄,谆,諄,谆
先,先,先,先,先,
敵,敵,敵,敌,敵,敌
迆,迆,迆,迆,迆,
竹,竹,竹,竹,竹,
搪,搪,搪,搪,搪,傏
博,博,博,博,博,愽
夤,夤,夤,夤,夤,
噴,噴,噴,喷,噴,呠喷歕
凋,凋,凋,凋,凋,
逖,逖,逖,逖,逖,逷
耶,耶,耶,耶,耶,
郭,郭,郭,郭,郭,
賁,賁,賁,贲,賁,贲
珊,珊,珊,珊,珊,
