OpenCC繁體,香港繁體,臺灣正體,大陸簡體,日本簡體,異體字
蕙,蕙,蕙,蕙,蕙,
緋,緋,緋,绯,緋,绯
忠,忠,忠,忠,忠,
皆,皆,皆,皆,皆,
高,高,高,高,高,髙
樺,樺,樺,桦,樺,桦
掣,掣,掣,掣,掣,
三,三,三,三,三,叁
丟,丟,丟,丢,丟,丢
園,園,園,园,園,园
秀,秀,秀,秀,秀,
局,局,局,局,局,侷
剌,剌,剌,剌,剌,
恐,恐,恐,恐,恐,𢙢
雄,雄,雄,雄,雄,
唆,唆,唆,唆,唆,
背,背,背,背,背,揹
虹,虹,虹,虹,虹,
豔,豔,豔,艳,豔,艳艶艷豓
憧,憧,憧,憧,憧,
憤,憤,憤,愤,憤,愤
甴,甴,甴,甴,甴,
黷,黷,黷,黩,黷,黩
滿,滿,滿,满,満,満满
梗,梗,梗,梗,梗,
甲,甲,甲,甲,甲,
匝,匝,匝,匝,匝,帀迊
蜿,蜿,蜿,蜿,蜿,
梔,梔,梔,栀,梔,栀
雉,雉,雉,雉,雉,
替,替,替,替,替,
囊,囊,囊,囊,囊,嚢
混,混,混,混,混,
丈,丈,丈,丈,丈,
黍,黍,黍,黍,黍,
瓤,瓤,瓤,瓤,瓤,
蟈,蟈,蟈,蝈,蟈,蝈
花,花,花,花,花,蘤
筷,筷,筷,筷,筷,
茉,茉,茉,茉,茉,
攀,攀,攀,攀,攀,㐴扳
崛,崛,崛,崛,崛,
幔,幔,幔,幔,幔,
跤,跤,跤,跤,跤,
歎,歎,歎,叹,歎,叹嘆
捆,捆,捆,捆,捆,綑
枚,枚,枚,枚,枚,
乳,乳,乳,乳,乳,
褫,褫,褫,褫,褫,裭
倉,倉,倉,仓,倉,仓
嬌,嬌,嬌,娇,嬌,娇撟
餡,餡,餡,馅,餡,馅
髮,髮,髮,发,髪,发髪
塚,塚,塚,冢,塚,冢塚
縛,縛,縛,缚,縛,缚
擻,擻,擻,擞,擻,擞
植,植,植,植,植,
檄,檄,檄,檄,檄,
健,健,健,健,健,徤
羹,羹,羹,羹,羹,羮
境,境,境,境,境,
貽,貽,貽,贻,貽,贻
煥,煥,煥,焕,煥,烉焕
汝,汝,汝,汝,汝,
搬,搬,搬,搬,搬,搫
詆,詆,詆,诋,詆,诋
廂,廂,廂,厢,廂,厢
島,島,島,岛,島,岛嶋嶌
歹,歹,歹,歹,歹,歺
蚯,蚯,蚯,蚯,蚯,
漂,漂,漂,漂,漂,
鼇,鼇,鼇,鼇,鼇,鰲
幽,幽,幽,幽,幽,凼
婁,婁,婁,娄,婁,娄
管,管,管,管,管,筦
穎,穎,穎,颖,頴,頴颖
蘿,蘿,蘿,萝,蘿,萝
央,央,央,央,央,
承,承,承,承,承,
峽,峽,峽,峡,峡,峡
薑,薑,薑,姜,薑,姜葁
學,學,學,学,学,学斈
詐,詐,詐,诈,詐,诈
瓠,瓠,瓠,瓠,瓠,
叟,叟,叟,叟,叟,傁叜
瞎,瞎,瞎,瞎,瞎,
疇,疇,疇,畴,疇,畴
升,升,升,升,升,昇陞
陣,陣,陣,阵,陣,阵𨸬
桃,桃,桃,桃,桃,
嘀,嘀,嘀,嘀,嘀,
識,識,識,识,識,识
烈,烈,烈,烈,烈,
骼,骼,骼,骼,骼,
漲,漲,漲,涨,漲,涨
唄,唄,唄,呗,唄,呗
蔓,蔓,蔓,蔓,蔓,
赫,赫,赫,赫,赫,
源,源,源,源,源,厵
詩,詩,詩,诗,詩,诗
祥,祥,祥,祥,祥,祥
緘,緘,緘,缄,緘,缄
峪,峪,峪,峪,峪,
渡,渡,渡,渡,渡,
簷,簷,簷,簷,簷,檐
盲,盲,盲,盲,盲,
籠,籠,籠,笼,籠,笼篭
閤,閤,閤,合,閤,合闔阖
獗,獗,獗,獗,獗,
咐,咐,咐,咐,咐,
冠,冠,冠,冠,冠,
蒜,蒜,蒜,蒜,蒜,
逾,逾,逾,逾,逾,踰
迷,迷,迷,迷,迷,
嵌,嵌,嵌,嵌,嵌,
麟,麟,麟,麟,麟,麐
翟,翟,翟,翟,翟,
陸,陸,陸,陆,陸,陆
爾,爾,爾,尔,爾,尒尓尔
酷,酷,酷,酷,酷,
杵,杵,杵,杵,杵,
悽,悽,悽,凄,悽,凄淒
諸,諸,諸,诸,諸,诸諸
拎,拎,拎,拎,拎,
衚,衚,衚,胡,衚,胡
共,共,共,共,共,
霽,霽,霽,霁,霽,霁
夭,夭,夭,夭,夭,殀
兵,兵,兵,兵,兵,
抄,抄,抄,抄,抄,
審,審,審,审,審,审
弟,弟,弟,弟,弟,
瀰,瀰,瀰,㳽弥,瀰,㳽弥彌
蹄,蹄,蹄,蹄,蹄,蹏
瓣,瓣,瓣,瓣,弁,弁
雲,雲,雲,云,雲,云
戰,戰,戰,战𢧐,戦,战戦𢧐
哀,哀,哀,哀,哀,
苔,苔,苔,苔,苔,薹
效,效,效,效,効,俲効
倩,倩,倩,倩,倩,
捷,捷,捷,捷,捷,
綽,綽,綽,绰,綽,绰
轔,轔,轔,辚,轔,辚
琅,琅,琅,琅,琅,瑯
哈,哈,哈,哈,哈,
勃,勃,勃,勃,勃,艴
僭,僭,僭,僭,僭,僣
綜,綜,綜,综,綜,综
娣,娣,娣,娣,娣,
頹,頹,頹,颓,頹,頽颓
閭,閭,閭,闾,閭,闾
狐,狐,狐,狐,狐,
溯,溯,溯,溯,溯,㴑泝遡
配,配,配,配,配,
貳,貳,貳,贰,弐,二弍弐贰
玟,玟,玟,玟,玟,玫珉
役,役,役,役,役,
萊,萊,萊,莱,萊,莱
柒,柒,柒,柒,柒,七漆
授,授,授,授,授,
妊,妊,妊,妊,妊,姙
晰,晰,晰,晰,晰,晢晳
贊,贊,贊,赞,賛,賛赞
嫗,嫗,嫗,妪,嫗,妪
勦,勦,勦,勦,勦,剿
丘,丘,丘,丘,丘,㐀丠坵
諒,諒,諒,谅,諒,谅
繫,繫,繫,系,繫,系繋
凰,凰,凰,凰,凰,
京,京,京,京,京,亰
明,明,明,明,明,朙
礫,礫,礫,砾,礫,砾
之,之,之,之,之,
琶,琶,琶,琶,琶,
斕,斕,斕,斓,斕,斓
杏,杏,杏,杏,杏,
蒐,蒐,蒐,搜,蒐,搜
屆,屆,屆,届,届,届
辯,辯,辯,辩,弁,弁辨辩
係,係,係,系,係,系
詳,詳,詳,详,詳,详
爰,爰,爰,爰,爰,
佔,佔,佔,占,佔,占
蚶,蚶,蚶,蚶,蚶,
劬,劬,劬,劬,劬,
撩,撩,撩,撩,撩,
髯,髯,髯,髯,髯,髥
炭,炭,炭,炭,炭,
弁,弁,弁,弁,弁,瓣辧辨辯
隨,隨,隨,随,随,随
者,者,者,者,者,者
尬,尬,尬,尬,尬,
吝,吝,吝,吝,吝,恡悋
汰,汰,汰,汰,汰,
涸,涸,涸,涸,涸,凅
現,現,現,现,現,现
韆,韆,韆,千,韆,千
說,説,說,说,説,説说
孑,孑,孑,孑,孑,
軔,軔,軔,轫,軔,轫
練,練,練,练,練,练練
亡,亡,亡,亡,亡,亾兦
淹,淹,淹,淹,淹,渰
緬,緬,緬,缅,緬,缅
怪,怪,怪,怪,怪,恠
壓,壓,壓,压,圧,压圧
具,具,具,具,具,
姣,姣,姣,姣,姣,㚣
濠,濠,濠,濠,濠,
遽,遽,遽,遽,遽,
窗,窗,窗,窗,窗,䆫牕窓窻
訂,訂,訂,订,訂,订
飼,飼,飼,饲,飼,飤饲
陲,陲,陲,陲,陲,
溉,溉,溉,溉,溉,摡漑
嘮,嘮,嘮,唠,嘮,唠
撤,撤,撤,撤,撤,
鴕,鴕,鴕,鸵,鴕,鸵
別,別,別,别,別,别
湘,湘,湘,湘,湘,
譚,譚,譚,谭,譚,談谭
蝸,蝸,蝸,蜗,蝸,蜗
早,早,早,早,早,
胚,胚,胚,胚,胚,肧
党,党,党,党,党,黨
賬,賬,賬,账,賬,帳账𧹔
霸,霸,霸,霸,覇,覇
幻,幻,幻,幻,幻,
邂,邂,邂,邂,邂,
端,端,端,端,端,
秒,秒,秒,秒,秒,
甦,甦,甦,苏,甦,穌苏
咸,咸,咸,咸,咸,鹹
客,客,客,客,客,
哦,哦,哦,哦,哦,誐
丑,丑,丑,丑,丑,醜
玲,玲,玲,玲,玲,
舗,舗,舗,舗,舗,舖鋪
歲,歲,歲,岁,歳,亗岁嵗歳𡻕
前,前,前,前,前,
奴,奴,奴,奴,奴,
奩,奩,奩,奁,奩,匳奁
蚤,蚤,蚤,蚤,蚤,䖣
嚥,嚥,嚥,咽,嚥,咽
飭,飭,飭,饬,飭,饬
疤,疤,疤,疤,疤,
僚,僚,僚,僚,僚,
桓,桓,桓,桓,桓,
丹,丹,丹,丹,丹,
陶,陶,陶,陶,陶,匋
鈅,鈅,鈅,钥,鈅,钥
膀,膀,膀,膀,膀,
狄,狄,狄,狄,狄,
嬉,嬉,嬉,嬉,嬉,
待,待,待,待,待,
鉅,鉅,鉅,巨钜,鉅,巨钜
始,始,始,始,始,
咩,咩,咩,咩,咩,哶
邢,邢,邢,邢,邢,郉
安,安,安,安,安,
衢,衢,衢,衢,衢,
連,連,連,连,連,连
曳,曳,曳,曳,曳,曵
釦,釦,釦,扣,釦,扣
勢,勢,勢,势,勢,势
胜,胜,胜,胜,胜,勝
圯,圯,圯,圯,圯,
狸,狸,狸,狸,狸,貍
吃,吃,吃,吃,吃,喫
仲,仲,仲,仲,仲,
臏,臏,臏,膑,臏,膑髌髕
捍,捍,捍,捍,捍,扞
瑛,瑛,瑛,瑛,瑛,
儲,儲,儲,储,儲,储
鋼,鋼,鋼,钢,鋼,钢
痢,痢,痢,痢,痢,
萬,萬,萬,万,万,万卍
蕪,蕪,蕪,芜,蕪,芜
涯,涯,涯,涯,涯,
磁,磁,磁,磁,磁,瓷𥔵
慙,慙,慙,慙,慙,慚
叔,叔,叔,叔,叔,尗
朴,朴,朴,朴,朴,樸
蟯,蟯,蟯,蛲,蟯,蛲
槍,槍,槍,枪,槍,枪
旺,旺,旺,旺,旺,
跨,跨,跨,跨,跨,
困,困,困,困,困,睏
鹼,鹼,鹼,碱,鹸,堿硷碱鹸鹻
抿,抿,抿,抿,抿,㨉
彬,彬,彬,彬,彬,份斌
程,程,程,程,程,
濺,濺,濺,溅,濺,溅
櫝,櫝,櫝,椟,櫝,匵椟
繪,繪,繪,绘,絵,絵绘缋
菜,菜,菜,菜,菜,
污,污,汙,污,汚,汙汚洿
筏,筏,筏,筏,筏,栰
捏,捏,捏,捏,捏,揑
涼,涼,涼,凉,涼,凉鿌
醜,醜,醜,丑,醜,丑
酪,酪,酪,酪,酪,
冒,冒,冒,冒,冒,冐
湮,湮,湮,湮,湮,
頑,頑,頑,顽,頑,顽
鹵,鹵,鹵,卤,鹵,卤
慨,慨,慨,慨,慨,慨
我,我,我,我,我,
緖,緖,緖,緖,緒,緒
燦,燦,燦,灿,燦,灿
襖,襖,襖,袄,襖,澳袄𥜌
習,習,習,习,習,习
曦,曦,曦,曦,曦,
哲,哲,哲,哲,哲,喆悊
極,極,極,极,極,极
膿,膿,膿,脓,膿,脓
牌,牌,牌,牌,牌,
切,切,切,切,切,
詛,詛,詛,诅,詛,诅
褪,褪,褪,褪,褪,
隣,隣,隣,隣,隣,鄰
贓,贓,贓,赃,贓,賍贜赃
且,且,且,且,且,
科,科,科,科,科,
絃,絃,絃,弦,絃,弦
穡,穡,穡,穑,穡,穑
字,字,字,字,字,
燄,燄,燄,燄,燄,焰
冕,冕,冕,冕,冕,
酋,酋,酋,酋,酋,
溝,溝,溝,沟,溝,沟
摟,摟,摟,搂,摟,搂
泛,泛,泛,泛,泛,氾汎
幗,幗,幗,帼,幗,帼
嚮,嚮,嚮,向,嚮,向
阱,阱,阱,阱,阱,穽
魅,魅,魅,魅,魅,
壤,壤,壤,壤,壌,壌
調,調,調,调,調,调
曠,曠,曠,旷,曠,旷昿
坤,坤,坤,坤,坤,堃
伍,伍,伍,伍,伍,
徇,徇,徇,徇,徇,
腿,腿,腿,腿,腿,骽
瞻,瞻,瞻,瞻,瞻,
蒂,蒂,蒂,蒂,蒂,
涌,涌湧,湧,涌,涌,湧
遐,遐,遐,遐,遐,
鄹,鄹,鄹,鄹,鄹,郰
鯉,鯉,鯉,鲤,鯉,鲤
馥,馥,馥,馥,馥,
蹦,蹦,蹦,蹦,蹦,
粘,粘,粘,粘,粘,黏
較,較,較,较,較,较
娼,娼,娼,娼,娼,
清,清,清,清,清,淸
喊,喊,喊,喊,喊,
騁,騁,騁,骋,騁,骋
旱,旱,旱,旱,旱,
剜,剜,剜,剜,剜,
揀,揀,揀,拣,揀,拣
戕,戕,戕,戕,戕,
鮮,鮮,鮮,鲜,鮮,尟尠鱻鲜
姍,姍,姍,姗,姍,姗
瓦,瓦,瓦,瓦,瓦,
惋,惋,惋,惋,惋,
禍,禍,禍,祸,禍,祸禍
鵪,鵪,鵪,鹌,鵪,鹌
涕,涕,涕,涕,涕,䶏洟
躍,躍,躍,跃,躍,趯跃
遮,遮,遮,遮,遮,
蔭,蔭,蔭,荫,蔭,䕃廕荫
盂,盂,盂,盂,盂,
股,股,股,股,股,脵𦙶
恩,恩,恩,恩,恩,摁
夥,夥,夥,伙,夥,伙
遴,遴,遴,遴,遴,
憫,憫,憫,悯,憫,悯愍
饒,饒,饒,饶,饒,饶
踱,踱,踱,踱,踱,
遇,遇,遇,遇,遇,迂
喀,喀,喀,喀,喀,
蹣,蹣,蹣,蹒,蹣,蹒
畑,畑,畑,畑,畑,
戮,戮,戮,戮,戮,
猩,猩,猩,猩,猩,
降,降,降,降,降,夅
川,川,川,川,川,巛
鴉,鴉,鴉,鸦,鴉,鵶鸦
悠,悠,悠,悠,悠,滺
汐,汐,汐,汐,汐,
爛,爛,爛,烂,爛,烂燗
蘚,蘚,蘚,藓,蘚,藓
桀,桀,桀,桀,桀,
滓,滓,滓,滓,滓,
啪,啪,啪,啪,啪,
惶,惶,惶,惶,惶,
踪,踪,踪,踪,踪,蹤
蓬,蓬,蓬,蓬,蓬,
諭,諭,諭,谕,諭,谕
鴻,鴻,鴻,鸿,鴻,鸿
椎,椎,椎,椎,椎,槌
雇,雇,雇,雇,雇,僱
佛,佛,佛,佛,仏,仏彿
爭,爭,爭,争,争,争
屁,屁,屁,屁,屁,
貞,貞,貞,贞,貞,贞
助,助,助,助,助,
贍,贍,贍,赡,贍,赡
猜,猜,猜,猜,猜,
逕,逕,逕,迳,逕,徑迳
黴,黴,黴,霉,黴,霉
挽,挽,挽,挽,挽,輓
促,促,促,促,促,
孳,孳,孳,孳,孳,孶
疹,疹,疹,疹,疹,胗
履,履,履,履,履,
張,張,張,张,張,张
倭,倭,倭,倭,倭,
砍,砍,砍,砍,砍,
憩,憩,憩,憩,憩,憇
彞,彞,彞,彝,彞,彝
閡,閡,閡,阂,閡,阂
棄,棄,棄,弃,棄,弃
罹,罹,罹,罹,罹,
疫,疫,疫,疫,疫,
螞,螞,螞,蚂,螞,蚂
鼠,鼠,鼠,鼠,鼠,鼡
屛,屛,屛,屛,屛,屏摒
手,手,手,手,手,扌
台,台,台,台,台,檯臺颱
捩,捩,捩,捩,捩,
娘,娘,娘,娘,娘,嬢孃
唳,唳,唳,唳,唳,
裊,裊,裊,袅,裊,嫋嬝袅
輊,輊,輊,轾,輊,轾
理,理,理,理,理,
此,此,此,此,此,
霪,霪,霪,霪,霪,
豫,豫,豫,豫,予,予預
蠱,蠱,蠱,蛊,蠱,蛊
百,百,百,百,百,佰
甽,甽,甽,甽,甽,畎
瑙,瑙,瑙,瑙,瑙,碯
狩,狩,狩,狩,狩,
冊,冊,冊,册,冊,册𠕁
桌,桌,桌,桌,桌,
參,參,參,参,参,叁参叄叅蓡
君,君,君,君,君,
綸,綸,綸,纶,綸,纶
曆,曆,曆,历,暦,历厤暦歴歷
畏,畏,畏,畏,畏,
坂,坂,坂,坂,坂,阪
甫,甫,甫,甫,甫,
亮,亮,亮,亮,亮,
歇,歇,歇,歇,歇,
炒,炒,炒,炒,炒,
嗜,嗜,嗜,嗜,嗜,
丼,丼,丼,丼,丼,
茵,茵,茵,茵,茵,
氓,氓,氓,氓,氓,甿
哺,哺,哺,哺,哺,
值,值,值,值,值,値
嚴,嚴,嚴,严,厳,严厳
茄,茄,茄,茄,茄,
依,依,依,依,依,
橋,橋,橋,桥,橋,桥
麻,麻,麻,麻,麻,菻蔴
知,知,知,知,知,
瀧,瀧,瀧,泷,滝,泷滝
徘,徘,徘,徘,徘,
繚,繚,繚,缭,繚,缭
殯,殯,殯,殡,殯,殡
不,不,不,不,不,
使,使,使,使,使,
荼,荼,荼,荼,荼,
逛,逛,逛,逛,逛,
喧,喧,喧,喧,喧,吅諠
些,些,些,些,些,
族,族,族,族,族,
着,着,著,着,着,著
睿,睿,睿,睿,睿,叡
闊,闊,闊,阔,闊,濶阔
酩,酩,酩,酩,酩,
鑲,鑲,鑲,镶,鑲,镶
戶,户,戶,户,戸,户戸
彼,彼,彼,彼,彼,
紜,紜,紜,纭,紜,纭
襤,襤,襤,褴,襤,繿褴
卸,卸,卸,卸,卸,缷
奄,奄,奄,奄,奄,
尋,尋,尋,寻,尋,寻
痘,痘,痘,痘,痘,
鄧,鄧,鄧,邓,鄧,邓
佃,佃,佃,佃,佃,
傑,傑,傑,杰,傑,杰
麋,麋,麋,麋,麋,
彫,彫,彫,雕,彫,㓮雕
橇,橇,橇,橇,橇,鞒鞽
昭,昭,昭,昭,昭,
架,架,架,架,架,榢
訥,訥,訥,讷,訥,吶讷
艷,艷,艷,艳,艷,艳艶豓豔
齜,齜,齜,龇,齜,龇
報,報,報,报,報,报
邁,邁,邁,迈,邁,迈
纂,纂,纂,纂,纂,
靦,靦,靦,䩄腼,靦,䩄腼覥
拔,拔,拔,拔,抜,抜
孀,孀,孀,孀,孀,霜
擾,擾,擾,扰,擾,扰
慚,慚,慚,惭,慚,惭慙
睨,睨,睨,睨,睨,
屎,屎,屎,屎,屎,
鱸,鱸,鱸,鲈,鱸,鲈
澄,澄,澄,澄,澄,澂
籬,籬,籬,篱,籬,篱
炳,炳,炳,炳,炳,
緯,緯,緯,纬,緯,纬
遺,遺,遺,遗,遺,遗
矚,矚,矚,瞩,矚,瞩
孜,孜,孜,孜,孜,
膜,膜,膜,膜,膜,
塵,塵,塵,尘,塵,尘
蜇,蜇,蜇,蜇,蜇,𧋍
噙,噙,噙,噙,噙,
靖,靖,靖,靖,靖,
劾,劾,劾,劾,劾,
唉,唉,唉,唉,唉,欸誒诶
臀,臀,臀,臀,臀,
渾,渾,渾,浑,渾,浑
傳,傳,傳,传,伝,伝传
硅,硅,硅,硅,硅,
雙,雙,雙,双,双,双
寒,寒,寒,寒,寒,
亭,亭,亭,亭,亭,
童,童,童,童,童,
們,們,們,们,們,们
軌,軌,軌,轨,軌,轨
詢,詢,詢,询,詢,询
姿,姿,姿,姿,姿,
湖,湖,湖,湖,湖,
伙,伙,伙,伙,伙,夥
鬲,鬲,鬲,鬲,鬲,
縫,縫,縫,缝,縫,缝
雷,雷,雷,雷,雷,
咲,咲,咲,咲,咲,笑
戒,戒,戒,戒,戒,
麪,麪,麵,面麺,麺,面麵麺
鍋,鍋,鍋,锅,鍋,锅
餽,餽,餽,餽,餽,饋馈
痛,痛,痛,痛,痛,
嗤,嗤,嗤,嗤,嗤,
羸,羸,羸,羸,羸,
杞,杞,杞,杞,杞,
敖,敖,敖,敖,敖,
揖,揖,揖,揖,揖,
揍,揍,揍,揍,揍,
拚,拚,拚,拚,拚,抃𢬵
除,除,除,除,除,
霄,霄,霄,霄,霄,
海,海,海,海,海,海
要,要,要,要,要,
覺,覺,覺,觉,覚,斍覐覚觉
螫,螫,螫,螫,螫,
丫,丫,丫,丫,丫,
限,限,限,限,限,
蓮,蓮,蓮,莲,蓮,莲
懇,懇,懇,恳,懇,恳
鈷,鈷,鈷,钴,鈷,钴
梃,梃,梃,梃,梃,
濱,濱,濱,滨,浜,浜滨濵瀕
縱,縱,縱,纵,縦,縦纵
功,功,功,功,功,
菽,菽,菽,菽,菽,
虐,虐,虐,虐,虐,䖈
唧,唧,唧,唧,唧,喞
敏,敏,敏,敏,敏,勄敏
煽,煽,煽,煽,煽,扇搧
岱,岱,岱,岱,岱,
娃,娃,娃,娃,娃,
溪,溪,溪,溪,渓,渓
廚,廚,廚,厨,廚,厨
梓,梓,梓,梓,梓,
嗽,嗽,嗽,嗽,嗽,瘶
涎,涎,涎,涎,涎,㳄
嫵,嫵,嫵,妩,嫵,妩娬
勸,勸,勸,劝,勧,劝勧
尖,尖,尖,尖,尖,
襯,襯,襯,衬,襯,儭衬
動,動,動,动,動,动
咯,咯,咯,咯,咯,詻
槪,槪,槪,槪,槪,㮣概
紀,紀,紀,纪,紀,纪
蕾,蕾,蕾,蕾,蕾,
心,心,心,心,心,㣺忄
佑,佑,佑,佑,佑,祐
准,准,准,准,准,準
皂,皂,皂,皂,皂,皁
留,留,留,留,留,畄畱
豬,豬,豬,猪,豬,猪
嬝,嬝,嬝,嬝,嬝,嫋袅裊
排,排,排,排,排,
揮,揮,揮,挥,揮,挥
嚏,嚏,嚏,嚏,嚏,嚔
梯,梯,梯,梯,梯,
階,階,階,阶,階,堦阶
蟋,蟋,蟋,蟋,蟋,
戍,戍,戍,戍,戍,
番,番,番,番,番,蹯
晴,晴,晴,晴,晴,
悔,悔,悔,悔,悔,悔
罪,罪,罪,罪,罪,辠
開,開,開,开𫔭,開,开𫔭
糢,糢,糢,糢,糢,
囤,囤,囤,囤,囤,𥫱
殷,殷,殷,殷,殷,
元,元,元,元,元,
吮,吮,吮,吮,吮,
拇,拇,拇,拇,拇,𧿹
搖,搖,搖,摇,揺,揺摇
籃,籃,籃,篮,籃,箖篮
姑,姑,姑,姑,姑,
攆,攆,攆,撵,攆,撵
蕭,蕭,蕭,萧,蕭,萧
栗,栗,栗,栗,栗,慄
銀,銀,銀,银,銀,银
迺,迺,迺,迺,迺,乃廼
儁,儁,儁,俊,儁,俊
擋,擋,擋,挡,擋,挡攩
掀,掀,掀,掀,掀,
斬,斬,斬,斩,斬,斩
坼,坼,坼,坼,坼,
惕,惕,惕,惕,惕,悐
味,味,味,味,味,
鄉,鄉,鄉,乡,郷,乡郷鄕
旗,旗,旗,旗,旗,旂
弊,弊,弊,弊,弊,𡚁
几,几,几,几,几,幾機
嬪,嬪,嬪,嫔,嬪,嫔𡣕
猖,猖,猖,猖,猖,
袁,袁,袁,袁,袁,
銷,銷,銷,销,銷,销
讚,讚,讚,赞,讚,讃赞
嘛,嘛,嘛,嘛,嘛,
寥,寥,寥,寥,寥,
鸞,鸞,鸞,鸾,鸞,鵉鸾
憲,憲,憲,宪,憲,宪
症,症,症,症,症,癥
餒,餒,餒,馁,餒,餧馁
慄,慄,慄,栗,慄,栗
腆,腆,腆,腆,腆,
愣,愣,愣,愣,愣,
嗦,嗦,嗦,嗦,嗦,
又,又,又,又,又,
雁,雁,雁,雁,雁,鳫鴈
碟,碟,碟,碟,碟,
矣,矣,矣,矣,矣,
櫻,櫻,櫻,樱,桜,桜樱
靛,靛,靛,靛,靛,
腸,腸,腸,肠,腸,肠膓
註,註,註,注,註,注
閏,閏,閏,闰,閏,閠闰
彎,彎,彎,弯,弯,弯
稅,税,稅,税,税,税
系,系,系,系,系,係繫
脈,脈,脈,脉,脈,脉衇
祠,祠,祠,祠,祠,
覓,覓,覓,觅,覓,覔觅
貿,貿,貿,贸,貿,贸
剃,剃,剃,剃,剃,鬀
噫,噫,噫,噫,噫,
寅,寅,寅,寅,寅,
古,古,古,古,古,
碾,碾,碾,碾,碾,
江,江,江,江,江,
擰,擰,擰,拧,擰,拧
充,充,充,充,充,
膠,膠,膠,胶,膠,胶
及,及,及,及,及,
瓢,瓢,瓢,瓢,瓢,
斟,斟,斟,斟,斟,
寫,寫,寫,写,写,写冩
卦,卦,卦,卦,卦,
齣,齣,齣,出,齣,出
岐,岐,岐,岐,岐,歧
路,路,路,路,路,
衛,衞,衛,卫,衛,卫衞
揣,揣,揣,揣,揣,
廿,廿,廿,廿,廿,卄廾
造,造,造,造,造,
噥,噥,噥,哝,噥,哝
池,池,池,池,池,
闡,闡,闡,阐,闡,阐
霆,霆,霆,霆,霆,
陌,陌,陌,陌,陌,
畸,畸,畸,畸,畸,
控,控,控,控,控,
軟,軟,軟,软,軟,輭软
効,効,効,効,効,俲效
鹹,鹹,鹹,咸,鹹,咸
閩,閩,閩,闽,閩,闽
栓,栓,栓,栓,栓,
紂,紂,紂,纣,紂,纣
襲,襲,襲,袭,襲,袭
鋪,鋪,鋪,铺,鋪,舖舗铺
朮,朮,朮,术,朮,术
棠,棠,棠,棠,棠,
恨,恨,恨,恨,恨,
竭,竭,竭,竭,竭,
喲,喲,喲,哟,喲,哟
打,打,打,打,打,
肴,肴,肴,肴,肴,餚
淋,淋,淋,淋,淋,
更,更,更,更,更,
得,得,得,得,得,
惰,惰,惰,惰,惰,
嬋,嬋,嬋,婵,嬋,婵
稚,稚,稚,稚,稚,䕌稺穉
帕,帕,帕,帕,帕,
祗,祗,祗,祗,祗,只
矇,矇,矇,蒙,矇,懞朦苎蒙
俊,俊,俊,俊,俊,儁
璀,璀,璀,璀,璀,
受,受,受,受,受,
抹,抹,抹,抹,抹,
有,有,有,有,有,
